 2018-12-21 23:15:35,815 [P7852/D3/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco 7.7.4 application starting on im-web
 2018-12-21 23:15:35,846 [P7852/D3/T1] INFO  Umbraco.Core.PluginManager - Determining hash of code files on disk
 2018-12-21 23:15:35,846 [P7852/D3/T1] INFO  Umbraco.Core.PluginManager - Hash determined (took 6ms)
 2018-12-21 23:15:35,909 [P7852/D3/T1] INFO  Umbraco.Core.MainDom - Acquiring MainDom...
 2018-12-21 23:15:35,909 [P7852/D3/T1] INFO  Umbraco.Core.MainDom - Acquired MainDom.
 2018-12-21 23:15:35,909 [P7852/D3/T1] INFO  Umbraco.Core.PluginManager - Resolving umbraco.interfaces.IDiscoverable
 2018-12-21 23:15:36,190 [P7852/D3/T1] INFO  Umbraco.Core.PluginManager - Resolved umbraco.interfaces.IDiscoverable (took 283ms)
 2018-12-21 23:15:36,190 [P7852/D3/T1] INFO  Umbraco.Core.PluginManager - Resolving umbraco.interfaces.IApplicationStartupHandler
 2018-12-21 23:15:36,190 [P7852/D3/T1] INFO  Umbraco.Core.PluginManager - Resolved umbraco.interfaces.IApplicationStartupHandler (took 2ms)
 2018-12-21 23:15:36,205 [P7852/D3/T1] INFO  Umbraco.Core.PluginManager - Resolving umbraco.interfaces.IDiscoverable
 2018-12-21 23:15:36,205 [P7852/D3/T1] INFO  Umbraco.Core.PluginManager - Resolved umbraco.interfaces.IDiscoverable (took 0ms)
 2018-12-21 23:15:36,205 [P7852/D3/T1] INFO  Umbraco.Core.PluginManager - Resolving Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
 2018-12-21 23:15:36,205 [P7852/D3/T1] INFO  Umbraco.Core.PluginManager - Resolved Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter (took 1ms)
 2018-12-21 23:15:36,205 [P7852/D3/T1] INFO  Umbraco.Core.PluginManager - Resolving umbraco.interfaces.IDiscoverable
 2018-12-21 23:15:36,205 [P7852/D3/T1] INFO  Umbraco.Core.PluginManager - Resolved umbraco.interfaces.IDiscoverable (took 0ms)
 2018-12-21 23:15:36,221 [P7852/D3/T1] INFO  Umbraco.Core.PluginManager - Resolving Umbraco.Core.PropertyEditors.IPropertyValueConverter
 2018-12-21 23:15:36,221 [P7852/D3/T1] INFO  Umbraco.Core.PluginManager - Resolved Umbraco.Core.PropertyEditors.IPropertyValueConverter (took 2ms)
 2018-12-21 23:15:36,221 [P7852/D3/T1] INFO  Umbraco.Core.PluginManager - Resolving umbraco.interfaces.IDiscoverable
 2018-12-21 23:15:36,221 [P7852/D3/T1] INFO  Umbraco.Core.PluginManager - Resolved umbraco.interfaces.IDiscoverable (took 0ms)
 2018-12-21 23:15:36,221 [P7852/D3/T1] INFO  Umbraco.Core.PluginManager - Resolving Umbraco.Web.Mvc.SurfaceController
 2018-12-21 23:15:36,221 [P7852/D3/T1] INFO  Umbraco.Core.PluginManager - Resolved Umbraco.Web.Mvc.SurfaceController (took 1ms)
 2018-12-21 23:15:36,237 [P7852/D3/T1] INFO  Umbraco.Core.PluginManager - Resolving umbraco.interfaces.IDiscoverable
 2018-12-21 23:15:36,237 [P7852/D3/T1] INFO  Umbraco.Core.PluginManager - Resolved umbraco.interfaces.IDiscoverable (took 0ms)
 2018-12-21 23:15:36,237 [P7852/D3/T1] INFO  Umbraco.Core.PluginManager - Resolving Umbraco.Web.WebApi.UmbracoApiController
 2018-12-21 23:15:36,237 [P7852/D3/T1] INFO  Umbraco.Core.PluginManager - Resolved Umbraco.Web.WebApi.UmbracoApiController (took 1ms)
 2018-12-21 23:15:37,799 [P7852/D3/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2018-12-21 23:15:38,127 [P7852/D3/T1] INFO  Umbraco.Web.Cache.CacheRefresherEventHandler - Initializing Umbraco internal event handlers for cache refreshing
 2018-12-21 23:15:38,299 [P7852/D3/T1] INFO  Umbraco.Web.Search.ExamineEvents - Initializing Examine and binding to business logic events
 2018-12-21 23:15:38,299 [P7852/D3/T1] INFO  Umbraco.Web.Search.ExamineEvents - Adding examine event handlers for index providers: 3
 2018-12-21 23:15:38,330 [P7852/D3/T1] WARN  Umbraco.Core.Sync.DatabaseServerMessenger - No last synced Id found, this generally means this is a new server/install. The server will build its caches and indexes, and then adjust its last synced Id to the latest found in the database and maintain cache updates based on that Id.
 2018-12-21 23:15:38,377 [P7852/D3/T1] INFO  umbraco.content - Load Xml from file...
 2018-12-21 23:15:38,377 [P7852/D3/T1] INFO  umbraco.content - Loaded Xml from file.
 2018-12-21 23:15:38,377 [P7852/D3/T1] INFO  umbraco.content - Loading content from database...
 2018-12-21 23:15:38,862 [P7852/D3/T1] INFO  UmbracoExamine.DataServices.UmbracoLogService - Rebuilding index, Provider=InternalMemberIndexer, NodeId=-1
